Scope,Type,Sport,Sport Code,Age,Age Code,Gender,Gender Code,Stage,Field,Role,Surface,Abbreviation,Event Name
Africa,Club,Ultimate,U,U20/U19,U20,Open/Men,M,Group,Normal,Player,Grass,AAUCC,All African Ultimate Club Championships
Asia Oceania,National,Guts,G,U24/U23,U24,Women,W,Crossover,Showcase,Coach,Beach,AOUC,Asia Oceanic Ultimate Championships
Europe,,,,All,A,Mixed,X,Playoff,,Staff,,AOUCC,Asia Oceanic Ultimate Club Championships
Americas,,,,Master,M,,,Placement,,Player + Captain,,AOUGCC,Asia Oceanic Ultimate and Guts Club Championships
World,,,,Grand Master,GM,,,Finals,,Player + Spirit Captain,,ECC,European Club Championships
Asia,,,,Great Grand Master,GGM,,,,,,,EUC,European Ultimate Championships
Oceania,,,,U17,U17,,,,,,,PAUC,Pan American Ultimate Championships
North America,,,,,,,,,,,,PAUCC,Pan American Ultimate Club Championships
Central America + Caribbean,,,,,,,,,,,,WCBU,World Championships of Beach Ultimate
South America,,,,,,,,,,,,WGGMBUC,World Great Grandmasters Beach Ultimate Championships
,,,,,,,,,,,,WJUC,World Junior Ultimate Championahips
,,,,,,,,,,,,WMUCC,World Masters Ultimate Club Championships
,,,,,,,,,,,,WU23UC,World Under-23 Ultimate Championships
,,,,,,,,,,,,WU24UC,World Under-24 Ultimate Championships
,,,,,,,,,,,,WUCC,World Ultimate Club Championships
,,,,,,,,,,,,WUGC,World Ultimate and Guts Championships
,,,,,,,,,,,,EBUCC,European Beach Ultimate Club Championships
,,,,,,,,,,,,AOUGC,Asia Oceanic Ultimate and Guts Championships
,,,,,,,,,,,,AAUGC,All Africa Ultimate and Guts Championships
,,,,,,,,,,,,AOBUC,Asia Oceanic Beach Ultimate Championships
,,,,,,,,,,,,EBUC,European Beach Ultimate Championships
,,,,,,,,,,,,PAUGC,Pan American Ultimate and Guts Championships
,,,,,,,,,,,,WOC,World Overall Championships
,,,,,,,,,,,,EUCF,European Ultimate Championships Finals
,,,,,,,,,,,,WUC,World Ultimate Championships
,,,,,,,,,,,,TWG,The World Games
,,,,,,,,,,,,WMUC,World Masters Ultimate Championships
,,,,,,,,,,,,EYUC,European Youth Ultiumate Championships